date,Layoffs Rate,Quits Rate,state_abb,fips_code,region,date_period_text,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,viz_type_text
2025-05-01,1.5999999999999999,3,AK,02,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Alaska,Scatter
2025-05-01,1.5666666666666667,2.9333333333333336,MT,30,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Montana,Scatter
2025-05-01,1.5,1.5666666666666667,NJ,34,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Jersey,Scatter
2025-05-01,1.5,2.033333333333333,RI,44,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Rhode Island,Scatter
2025-05-01,1.3666666666666665,2.1666666666666665,ME,23,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Maine,Scatter
2025-05-01,1.3,1.9000000000000001,CT,09,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Connecticut,Scatter
2025-05-01,1.3,2.533333333333333,ID,16,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Idaho,Scatter
2025-05-01,1.3,2.2,VT,50,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Vermont,Scatter
2025-05-01,1.2333333333333334,2.6666666666666665,IN,18,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Indiana,Scatter
2025-05-01,1.2333333333333334,2,NH,33,Northeast,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Hampshire,Scatter
2025-05-01,1.2333333333333334,2.4,ND,38,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,North Dakota,Scatter
2025-05-01,1.2,2.3666666666666667,FL,12,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Florida,Scatter
2025-05-01,1.2,2.1999999999999997,NV,32,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Nevada,Scatter
2025-05-01,1.2,2.6,WY,56,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Wyoming,Scatter
2025-05-01,1.1666666666666667,2.4,AZ,04,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Arizona,Scatter
2025-05-01,1.1666666666666667,2,KY,21,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Kentucky,Scatter
2025-05-01,1.1666666666666667,2.4666666666666663,SD,46,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,South Dakota,Scatter
2025-05-01,1.1666666666666667,2.5666666666666664,UT,49,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Utah,Scatter
2025-05-01,1.1666666666666667,2.5,WV,54,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,West Virginia,Scatter
2025-05-01,1.1333333333333333,2.1666666666666665,CO,08,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Colorado,Scatter
2025-05-01,1.1,2.466666666666667,OH,39,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Ohio,Scatter
2025-05-01,1.0666666666666667,1.9333333333333333,CA,06,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,California,Scatter
2025-05-01,1.0666666666666667,2.1333333333333333,GA,13,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Georgia,Scatter
2025-05-01,1.0666666666666667,2.2333333333333334,LA,22,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Louisiana,Scatter
2025-05-01,1.0666666666666667,2.1666666666666665,MS,28,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Mississippi,Scatter
2025-05-01,1.0666666666666667,2,VA,51,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Virginia,Scatter
2025-05-01,1.0333333333333334,2.266666666666667,AR,05,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Arkansas,Scatter
2025-05-01,1.0333333333333334,2,HI,15,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Hawaii,Scatter
2025-05-01,1.0333333333333334,2.1,IA,19,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Iowa,Scatter
2025-05-01,1.0333333333333334,2.1333333333333333,KS,20,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Kansas,Scatter
2025-05-01,1.0333333333333334,2.1333333333333333,NE,31,Midwest,Monthly,Labor leverage,Ratio,Current,Trail 3,State,Nebraska,Scatter
2025-05-01,1.0333333333333334,2.1333333333333333,NM,35,West,Monthly,Labor leverage,Ratio,Current,Trail 3,State,New Mexico,Scatter
2025-05-01,1.0333333333333334,1.9000000000000001,NC,37,South,Monthly,Labor leverage,Ratio,Current,Trail 3,State,North Carolina,Scatter
