date,value,value_trail_three,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2020-12-01,2.4,2.3333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-01-01,2.3,2.3333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-02-01,2.4,2.3666666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-03-01,2.5,2.4,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-04-01,2.7,2.5333333333333337,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-05-01,2.6,2.6,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-06-01,2.7,2.6666666666666665,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-07-01,2.8,2.7000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-08-01,2.8,2.766666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-09-01,2.9,2.8333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-10-01,2.8,2.8333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-11-01,3,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2021-12-01,2.9,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-01-01,3,2.966666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-02-01,2.8,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-03-01,2.9,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-04-01,3,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-05-01,2.8,2.9,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-06-01,2.7,2.8333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-07-01,2.6,2.7000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-08-01,2.7,2.6666666666666665,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-09-01,2.6,2.6333333333333333,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-10-01,2.6,2.6333333333333333,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-11-01,2.7,2.6333333333333333,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2022-12-01,2.7,2.6666666666666665,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-01-01,2.5,2.6333333333333333,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-02-01,2.6,2.6,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-03-01,2.5,2.5333333333333337,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-04-01,2.3,2.466666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-05-01,2.6,2.466666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-06-01,2.4,2.4333333333333336,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-07-01,2.3,2.4333333333333336,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-08-01,2.3,2.3333333333333335,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-09-01,2.3,2.3000000000000003,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-10-01,2.3,2.3000000000000003,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-11-01,2.2,2.266666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2023-12-01,2.2,2.233333333333334,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-01-01,2.2,2.2000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-02-01,2.2,2.2000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-03-01,2.2,2.2000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-04-01,2.2,2.2000000000000006,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-05-01,2.1,2.166666666666667,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-06-01,2,2.1,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-07-01,2,2.0333333333333337,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-08-01,2,2,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-09-01,1.9,1.9666666666666668,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-10-01,2.1,2,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-11-01,2,2,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
2024-12-01,2,2.0333333333333337,Quits,Rate,Total nonfarm,Total US,All size classes,ts_line
