date,value,dataelement_text,ratelevel_text,industry_text,state_text,sizeclass_text,val_type_text
2025-01-01,3.4,Quits,Rate,Total nonfarm,Alaska,All size classes,cur_map
2025-01-01,3.233333333333333,Quits,Rate,Total nonfarm,Wyoming,All size classes,cur_map
2025-01-01,3,Quits,Rate,Total nonfarm,Montana,All size classes,cur_map
2025-01-01,2.8000000000000003,Quits,Rate,Total nonfarm,Idaho,All size classes,cur_map
2025-01-01,2.766666666666667,Quits,Rate,Total nonfarm,West Virginia,All size classes,cur_map
2025-01-01,2.6333333333333333,Quits,Rate,Total nonfarm,South Carolina,All size classes,cur_map
2025-01-01,2.6,Quits,Rate,Total nonfarm,Tennessee,All size classes,cur_map
2025-01-01,2.5,Quits,Rate,Total nonfarm,Louisiana,All size classes,cur_map
2025-01-01,2.466666666666667,Quits,Rate,Total nonfarm,Oklahoma,All size classes,cur_map
2025-01-01,2.3666666666666667,Quits,Rate,Total nonfarm,Delaware,All size classes,cur_map
2025-01-01,2.3666666666666667,Quits,Rate,Total nonfarm,Indiana,All size classes,cur_map
2025-01-01,2.3333333333333335,Quits,Rate,Total nonfarm,Colorado,All size classes,cur_map
2025-01-01,2.3333333333333335,Quits,Rate,Total nonfarm,Mississippi,All size classes,cur_map
2025-01-01,2.3000000000000003,Quits,Rate,Total nonfarm,North Dakota,All size classes,cur_map
2025-01-01,2.3,Quits,Rate,Total nonfarm,Nevada,All size classes,cur_map
2025-01-01,2.2666666666666666,Quits,Rate,Total nonfarm,Arkansas,All size classes,cur_map
2025-01-01,2.2666666666666666,Quits,Rate,Total nonfarm,South Dakota,All size classes,cur_map
2025-01-01,2.2333333333333334,Quits,Rate,Total nonfarm,Oregon,All size classes,cur_map
2025-01-01,2.2333333333333334,Quits,Rate,Total nonfarm,Utah,All size classes,cur_map
2025-01-01,2.233333333333333,Quits,Rate,Total nonfarm,Alabama,All size classes,cur_map
2025-01-01,2.233333333333333,Quits,Rate,Total nonfarm,Florida,All size classes,cur_map
2025-01-01,2.1666666666666665,Quits,Rate,Total nonfarm,Kentucky,All size classes,cur_map
2025-01-01,2.1666666666666665,Quits,Rate,Total nonfarm,New Mexico,All size classes,cur_map
2025-01-01,2.1666666666666665,Quits,Rate,Total nonfarm,Texas,All size classes,cur_map
2025-01-01,2.1333333333333333,Quits,Rate,Total nonfarm,Iowa,All size classes,cur_map
2025-01-01,2.1,Quits,Rate,Total nonfarm,Ohio,All size classes,cur_map
2025-01-01,2.066666666666667,Quits,Rate,Total nonfarm,Kansas,All size classes,cur_map
2025-01-01,2.066666666666667,Quits,Rate,Total nonfarm,North Carolina,All size classes,cur_map
2025-01-01,2.0666666666666664,Quits,Rate,Total nonfarm,Georgia,All size classes,cur_map
2025-01-01,2.033333333333333,Quits,Rate,Total nonfarm,Maine,All size classes,cur_map
2025-01-01,2.033333333333333,Quits,Rate,Total nonfarm,Vermont,All size classes,cur_map
2025-01-01,2.033333333333333,Quits,Rate,Total nonfarm,Virginia,All size classes,cur_map
2025-01-01,2,Quits,Rate,Total nonfarm,Missouri,All size classes,cur_map
2025-01-01,1.9666666666666668,Quits,Rate,Total nonfarm,Hawaii,All size classes,cur_map
2025-01-01,1.9666666666666666,Quits,Rate,Total nonfarm,Rhode Island,All size classes,cur_map
2025-01-01,1.9333333333333336,Quits,Rate,Total nonfarm,Arizona,All size classes,cur_map
2025-01-01,1.9333333333333333,Quits,Rate,Total nonfarm,Maryland,All size classes,cur_map
2025-01-01,1.9333333333333333,Quits,Rate,Total nonfarm,Michigan,All size classes,cur_map
2025-01-01,1.9333333333333333,Quits,Rate,Total nonfarm,Minnesota,All size classes,cur_map
2025-01-01,1.9000000000000001,Quits,Rate,Total nonfarm,Nebraska,All size classes,cur_map
2025-01-01,1.8666666666666665,Quits,Rate,Total nonfarm,Wisconsin,All size classes,cur_map
2025-01-01,1.7666666666666666,Quits,Rate,Total nonfarm,California,All size classes,cur_map
2025-01-01,1.7333333333333334,Quits,Rate,Total nonfarm,Connecticut,All size classes,cur_map
2025-01-01,1.7333333333333334,Quits,Rate,Total nonfarm,District of Columbia,All size classes,cur_map
2025-01-01,1.7333333333333334,Quits,Rate,Total nonfarm,Illinois,All size classes,cur_map
2025-01-01,1.7333333333333334,Quits,Rate,Total nonfarm,Washington,All size classes,cur_map
2025-01-01,1.6333333333333335,Quits,Rate,Total nonfarm,New Hampshire,All size classes,cur_map
2025-01-01,1.5999999999999999,Quits,Rate,Total nonfarm,Pennsylvania,All size classes,cur_map
2025-01-01,1.5,Quits,Rate,Total nonfarm,New Jersey,All size classes,cur_map
2025-01-01,1.4666666666666668,Quits,Rate,Total nonfarm,New York,All size classes,cur_map
2025-01-01,1.4000000000000001,Quits,Rate,Total nonfarm,Massachusetts,All size classes,cur_map
