date,dataelement_text,ratelevel_text,state_text,Layoffs Rate,Quits Rate,state_abb,fips_code,region_text,val_type_text
2024-12-01,Labor Leverage,Ratio,Rhode Island,2.3666666666666667,1.8333333333333333,RI,44,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Alaska,1.9000000000000001,3.6,AK,02,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Montana,1.6333333333333335,2.9333333333333336,MT,30,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Michigan,1.5666666666666667,2.066666666666667,MI,26,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Maine,1.5,1.9333333333333333,ME,23,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Vermont,1.5,1.8999999999999997,VT,50,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,New Jersey,1.4333333333333333,1.5,NJ,34,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Wyoming,1.4333333333333333,3.466666666666667,WY,56,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Idaho,1.3999999999999997,2.6666666666666665,ID,16,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Louisiana,1.3666666666666665,2.566666666666667,LA,22,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,New Hampshire,1.3666666666666665,1.6333333333333335,NH,33,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Connecticut,1.3333333333333333,1.6333333333333335,CT,09,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Nevada,1.3333333333333333,2.3666666666666667,NV,32,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,North Dakota,1.3333333333333333,2.3666666666666667,ND,38,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Colorado,1.3,2.2666666666666666,CO,08,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Tennessee,1.3,2.5,TN,47,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Utah,1.3,2.1999999999999997,UT,49,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,California,1.2333333333333334,1.8666666666666665,CA,06,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,South Carolina,1.2333333333333334,2.6999999999999997,SC,45,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,South Dakota,1.2333333333333334,2.433333333333333,SD,46,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,West Virginia,1.2333333333333334,2.6333333333333333,WV,54,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Kansas,1.2,1.9333333333333333,KS,20,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Oklahoma,1.2,2.6666666666666665,OK,40,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Indiana,1.1666666666666667,2.6,IN,18,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Kentucky,1.1666666666666667,2.266666666666667,KY,21,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Mississippi,1.1666666666666667,2.433333333333333,MS,28,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,New Mexico,1.1666666666666667,2.1999999999999997,NM,35,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,North Carolina,1.1666666666666667,2,NC,37,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Oregon,1.1666666666666667,2.3666666666666667,OR,41,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Georgia,1.1333333333333335,2.2666666666666666,GA,13,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Maryland,1.1333333333333335,2.033333333333333,MD,24,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Delaware,1.1333333333333333,2.5,DE,10,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Arkansas,1.0999999999999999,2.3333333333333335,AR,05,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Iowa,1.0666666666666667,2.1333333333333333,IA,19,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Nebraska,1.0666666666666667,2,NE,31,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Ohio,1.0666666666666667,2.2333333333333334,OH,39,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Arizona,1.0333333333333334,2.1333333333333333,AZ,04,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Florida,1.0333333333333334,2.0666666666666664,FL,12,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Illinois,1.0333333333333334,1.6333333333333335,IL,17,Midwest,cur_scatter
2024-12-01,Labor Leverage,Ratio,Massachusetts,1.0333333333333334,1.3333333333333333,MA,25,Northeast,cur_scatter
2024-12-01,Labor Leverage,Ratio,Texas,1.0333333333333334,2.1,TX,48,South,cur_scatter
2024-12-01,Labor Leverage,Ratio,Hawaii,1,1.9666666666666668,HI,15,West,cur_scatter
2024-12-01,Labor Leverage,Ratio,Alabama,0.9666666666666668,2.3333333333333335,AL,01,South,cur_scatter
